Parameter Settings																																
LaCyTools Version	2.0.1																															
LaCyTools Build	20201216																															
Calibration Parameters																																
CALIB_MASS_WINDOW	0.2																															
CALIB_S_N_CUTOFF	27																															
CALIB_MIN_PEAK	4																															
Extraction Parameters																																
SUM_SPECTRUM_RESOLUTION	100																															
MASS_WINDOW	0.1																															
TIME_WINDOW	10																															
MIN_CHARGE	2																															
MAX_CHARGE	3																															
MIN_TOTAL	0.9																															
BACKGROUND_WINDOW	10																															
																																
Absolute Intensity (Background Subtracted, 2+)	IgGI1H5N2	IgGI1H6N2	IgGI1H5N3	IgGI1H5N3F1	IgGI1H6N3	IgGI1H6N3F1	IgGI1H3N3	IgGI1H3N3F1	IgGI1H4N3	IgGI1H4N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H4N4	IgGI1H4N4F1	IgGI1H3N5	IgGI1H3N5F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H4N5	IgGI1H4N5F1	IgGI1H5N5	IgGI1H5N5F1	IgGI1H4N4F1S1	IgGI1H4N5F1S1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4F1S1	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H5N5F1S1	IgGI1H5N4S2	IgGI1H5N4F1S2
Fraction	0.938933776	0.928146882	0.925198342	0.91415346	0.913367405	0.901596099	0.946424193	0.936942312	0.936229661	0.925949367	0.933453672	0.922941934	0.922179356	0.910911253	0.919090187	0.907600778	0.91011456	0.962305248	0.906793692	0.960660177	0.960210759	0.953814889	0.957089849	0.947962401	0.96321064	0.956622851	0.949921781	0.954828344	0.947453024	0.940008658	0.943282946	0.935537795
Exact mass of most abundant isotopologue	[802.9841695991968]	[857.0017838001277]	[870.6772958906163]	[919.3632712038824]	[924.6949095188426]	[973.380884258966]	[762.6420664611946]	[811.3280432487827]	[816.6596815804847]	[865.3456575678538]	[830.3351937513213]	[879.0211698342883]	[884.3528081559174]	[933.0387835681089]	[898.0283205855271]	[946.7142960846386]	[938.3704218821171]	[987.0563967221351]	[952.0459343976877]	[1000.7319093267096]	[1006.0635476331855]	[1054.7495220706355]	[1030.070593143502]	[1097.7637185238575]	[981.3846184674943]	[1035.4022314469785]	[1084.0882056651824]	[1049.077744225187]	[1103.0953568211567]	[1151.7813307206313]	[1132.434040354303]	[1181.120014074212]
2022GLY00123IM5_Plate1_B01_01 20220624_000026.raw	279339.6215	28639.51587	45010.8457	154436.8265	27944.21964	93352.51601	28812.6547	244153.8099	24349.81119	137493.8218	75387.03272	9283723.615	87583.97736	7593333.348		510041.8426	66567.11811	2230319.458	4772.347772	706939.3383	5514.528786	262009.771	125925.2081	22740.19887	249329.1289	198460.4608	288024.2001	22534.37657	6704.591	124823.4563	35053.62166	66854.50045
2022GLY00123IM5_Plate1_B02_01 20220624_000027.raw	365785.6044	64066.73963	260361.9057	32180.43718	163995.6118	19911.77625	236099.1889	21733.69149	193265.5199	16999.49128	10483662.23	1119739.151	6297379.64	1267973.16	377220.9957	37637.06542	1445934.383	452687.2238	372791.384	78315.78939	78686.8113	7679.487113	16360.0934	5863.236249	97112.80248	148935.9951	38706.08069	12148.76954	4598.457913	8273.521185	28485.44365	10548.52381
2022GLY00123IM5_Plate1_B03_01 20220624_000028.raw	71695.8266	4249.978811	17836.17866	163806.5208	16290.12428	69875.24201	14007.19529	236649.674	14683.66162	114472.6343	52457.10019	8094742.868	74379.24361	3746117.629		265237.4173	32700.07759	590292.6986	4301.175892	205208.6814	2872.273266	112326.352	94106.31371	10211.86086	83898.61891	29790.25359	92406.87455	5077.308031	707.5025451	12668.40688	8604.869541	22709.47728
2022GLY00123IM5_Plate1_B04_01 20220624_000029.raw	116102.0948	5679.871798	150764.3097	58139.47125	97681.76619	45992.51089	153532.6216	46421.44613	108282.9543	31369.66058	8530853.258	2424425.116	4984986.76	2743493.805	345528.3724	120073.4779	1121897.903	1037420.369	302520.9305	224859.5077	63414.32913	42096.31234	44376.42422	16645.51551	120452.4375	151393.9933	119868.2438	20280.78429	3344.810781	23281.2659	32245.20399	33927.9148
2022GLY00123IM5_Plate1_B05_01 20220624_000030.raw				8414.442633		1088.258111	60991.23409	472263.4613	2464.802518	286956.9839	57410.74332	7314076.322	70862.21315	6227885.602		249801.142	50483.17476	1922994.628	2966.397957	269181.5327	1874.796605	135169.0654	45300.89105	1543.815301	35469.28444	47240.79965	91390.82388	1103.007622	838.9044173	81433.30531	111128.4546	1587.001883
2022GLY00123IM5_Plate1_B06_01 20220624_000031.raw	3577.085257	1925.196459	5112.072307	422.9461749	3498.138655	962.9739333	5144.041401	2387.701896	2887.986728	1863.759777	345058.8311	73836.16489	117143.3469	75461.15946	5848.390139	3504.483482	13198.63758	25992.09501	6019.723748	7079.563926	2319.940866	2136.798634	3072.282256	1422.981906	1522.698752	1856.077538	8348.375957	1036.142744	754.4697401	1548.050907	1103.530094	758.7159424
2022GLY00123IM5_Plate1_B07_01 20220624_000032.raw	152055.0043	10078.54967		68484.73706	9305.242583	34606.11124	39211.4562	369209.0929	11130.16736	67073.66877	58899.69733	15789743.65	125274.0735	5609088.398		583469.8258	48588.51166	1004932.427	5723.350373	401369.6776	4046.031961	366164.5297	147749.243	14609.90655	247286.5968	96434.0985	148951.284	11356.26541	2850.5531	43567.48261	20692.86572	35138.43882
2022GLY00123IM5_Plate1_B08_01 20220624_000033.raw	31177.07597	1760.338048	23018.11924	2007.782451	9209.531594	1666.297277	45701.1324	7564.225902	20086.58437	3495.879701	2830214.465	543441.0292	1060739.885	367399.0638	68663.64524	16685.36067	126603.1338	84316.17002	42507.69716	20156.4399	7705.015713	3473.791336	6801.350402	1965.204056	18231.32741	15043.4178	13536.47449	1848.820229	851.3867686	2121.43904	4678.927302	2241.312905
