Parameter Settings																										
LaCyTools Version	1.1.0-alpha																									
LaCyTools Build	190207b																									
Extraction Parameters																										
SUM_SPECTRUM_RESOLUTION	100																									
MASS_WINDOW	0.04																									
TIME_WINDOW	8																									
MIN_CHARGE	2																									
MAX_CHARGE	3																									
MIN_TOTAL	0.95																									
BACKGROUND_WINDOW	10																									
																										
Absolute Intensity (Background Subtracted, 2+)	IgGI1H3N4	IgGI1H4N4	IgGI1H5N4	IgGI1H3N5	IgGI1H4N5	IgGI1H5N5	IgGI1H3N4F1	IgGI1H4N4F1	IgGI1H5N4F1	IgGI1H3N5F1	IgGI1H4N5F1	IgGI1H5N5F1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4S2	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H4N4F1S1	IgGI1H5N4F1S1	IgGI1H5N4F1S2	IgGI1H4N5F1S1	IgGI1H5N5F1S1	IgGI1H4N5F2	IgGI1H5N5F2	IgGI1H4N4F2S1	IgGI1H5N4F2S1
alignedLin_38122IM5_plA_SpikeSpecific_F12_01 20201124_000084.raw	4027.48	5257.284	1377.148	139.368	161.548	308.68	41557.912	25687.092	11937.484	4835.096	2312.92	617.636	470.292	251.144	133.18	147.268	99.672	666.088	2320.908	105.904	293.48	101.848	80.812	135.196	101.604	45.016
alignedLin_38122IM5_plA_SpikeSpecific_G01_01 20201124_000087.raw	261.6	769.68	66.384	126.22	65.82	229.5	3698.688	864.852	1069.072	528.684	345.692	322.408	332.66	103.684	91.192	104.448	128.568	221.82	320.192	184.388	297.04	123.016	76.664	165.284	116.824	59.668
alignedLin_38122IM5_plA_SpikeSpecific_G02_01 20201124_000088.raw	4236.264	8578.54	4593.392	176.28	373.66	333.008	57916.756	103610.976	67462.108	5372.616	6359.74	1634.12	424.432	620.88	81.828	138.052	115.1	1796.1	11935.532	126.656	366.736	206.888	70.752	145.22	169.4	91.02
alignedLin_38122IM5_plA_SpikeSpecific_G03_01 20201124_000089.raw	801.324	2822.556	1376.02	149.432	108.2	315.972	17710.488	21062.26	14662.704	1614.96	1659.192	538.692	305.988	105.404	77.24	121.232	172.232	464.404	2506.592	138.516	177.06	32.68	72.348	161.524	147.652	63.744
alignedLin_38122IM5_plA_SpikeSpecific_G04_01 20201124_000090.raw	1406.264	4932.472	2950.876	171.508	251.16	420.424	77092.056	67663.124	52496.192	7428.088	5862.028	1763.796	614.196	465.7	176.868	215	147.644	1621.356	10069.832	203.888	478.028	224.064	120.5	188.564	247.42	123.82
alignedLin_38122IM5_plA_SpikeSpecific_G05_01 20201124_000091.raw	456.16	2089.86	1583.264	156.468	293.6	219.9	54817.044	66828.06	52097.048	5005.6	4432.72	1448.648	349.912	226.68	81.38	146.396	150.588	1748.892	10249.452	143.808	391.624	107.912	79.584	140.612	109.8	52.592
alignedLin_38122IM5_plA_SpikeSpecific_G07_01 20201124_000093.raw	207.132	1013.332	192.28	179.284	158.684	152.092	28147.796	15809.744	5877.044	3702.664	1586.332	408.84	129.82	141.568	53.476	99.128	160.488	645.548	1727.004	92.452	111.06	58.824	59.12	125.32	64.34	49.78
alignedLin_38122IM5_plA_SpikeSpecific_G08_01 20201124_000094.raw	2180.2	2766.648	782.508	210.832	208.136	148.384	69604.636	46442.696	21097.088	8601.176	5117.596	1049.896	177.108	240.708	90.168	88.664	86.224	1244.508	3750.188	100.78	136.068	104.608	69.52	89.324	50.584	41.584
alignedLin_38122IM5_plA_SpikeSpecific_G09_01 20201124_000095.raw	480.2	2161.924	1305.264	219.868	122.84	266.34	133314.536	114404.396	63030.984	12604.228	8528.112	2118.216	234.096	181.54	58.66	140.204	132.08	2308.5	10065.912	133.46	251.26	122.692	81.456	74.52	120.032	64.848
alignedLin_38122IM5_plA_SpikeSpecific_G10_01 20201124_000096.raw	295.06	1118.54	497.864	174.176	122.88	216.64	17347.58	17567.46	17807.928	1645.648	2169.532	839.004	100.612	228.304	46.32	97.384	102.472	401.684	4189.868	33.208	149.972	88.772	82.068	89.72	98.192	52
